fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,24,ODISHA,2423,KHORDHA,936998,254.978547834978,24,51,1252.83355981,3412,0,9317,269928,25443,16190,16389,8615,50.58221,1991.67426441,11231,15409,66767,123163,52,109325,190004,12729,688.2584946,117458,55,50.36,19.1,99.78,NA
2024-2025,Sep,24,ODISHA,2427,SONEPUR,1110481,259.142019050389,32,28,1984.571942391,6074,0,14259,839038,144174,27311,57922,10324,71.74363,4230.615586191,25680,34890,79025,136294,195,116569,195404,20333,2174.3000138,366323,80,37.81,17.14,99.38,NA
2024-2025,Aug,24,ODISHA,2405,BALESHWAR,1393396,256.352702909511,27,108,1876.0395436,9594,0,58707,950091,147217,44198,61737,18760,102.47132,4414.0948222,34437,46227,160624,269643,45,254793,408210,68301,2435.5839586,467469,79,33.4,4.89,99.64,NA
2024-2025,Aug,24,ODISHA,2407,DHENKANAL,2660488,264.046995045644,31,86,3423.495053872,6799,0,19767,997506,167540,51547,174043,37792,76.22413,6133.603802272,31866,42469,156022,271978,196,199166,340903,26566,2633.8846184,478009,60,37.91,22.35,99.23,NA
2024-2025,Aug,24,ODISHA,2408,KANDHAMAL,4783385,254.76455442746,42,2843,5659.111347432,13315,0,39340,4493118,970489,53909,2473292,135345,96.75155,17202.734950032,104616,156539,146479,244224,5460,155678,261220,52655,11446.8720526,2244287,56,32.92,47.01,99.49,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,229.547629273383,23,140,8943.520542084,18878,0,40505,1757419,256228,101746,94744,27699,161.78317,13139.417362984,73291,82400,403248,581298,84,434535,620654,59383,4034.1136509,1014783,47,42.79,30.99,98.67,NA
2024-2025,Aug,24,ODISHA,2419,JAGATSINGHAPUR,1022796,261.052988033737,18,38,1256.163075946,2389,0,10188,189700,23606,24756,452,580,56.75092,1808.131514246,10243,14683,80677,138600,5,123068,199399,12577,495.2175183,77759,51,44.2,6.92,99.58,NA
2024-2025,Aug,24,ODISHA,2430,NABARANGAPUR,3674427,266.837473332234,35,136,5442.126295779,8781,0,40358,2080883,315890,40922,1001333,146099,61.57784,11056.279755979,58222,78504,163074,267439,884,209352,332136,49139,5552.57562019999,961416,73,32.65,30.23,98.91,NA
2024-2025,Aug,24,ODISHA,2401,SAMBALPUR,1297809,253.375617189076,28,47,708.452631951,8635,0,14326,654532,97535,24517,309777,79100,81.27785,2448.154976651,22789,31110,89784,160955,64,129309,228769,22961,1658.4244947,321660,69,41.98,20.64,99.42,NA
2024-2025,Aug,24,ODISHA,2403,KENDUJHAR,4897477,253.765407532098,26,216,2246.313019382,11516,0,64924,1889115,203736,48308,868436,212287,109.23933,7149.472727882,70183,98182,250890,454009,220,316471,544781,76440,4793.9203785,974426,86,31.33,8.17,99.75,NA
2024-2025,Aug,24,ODISHA,2410,KALAHANDI,3598729,306.388807496287,35,264,8262.988344297,18294,0,37357,2994976,557291,67370,1008164,124545,81.4702,17520.729795497,85005,132876,213986,390006,4210,271208,474053,55651,9176.2712512,1437809,52,28.5,46.53,99.37,NA
2024-2025,Aug,24,ODISHA,2411,KORAPUT,4770935,264.428386095737,34,394,10751.162198585,11992,0,57669,2886683,405168,46255,1630773,191538,110.23016,18494.601627185,84469,107981,219700,341318,1503,256899,389228,69661,7633.2092686,1338818,64,49.12,20.2,98.58,NA
2024-2025,Aug,24,ODISHA,2413,PURI,1134627,269.910176549127,23,40,846.628573477,10685,0,21703,500314,96484,38715,2409,1020,117.51851,2314.545484177,21174,32002,118681,244850,63,194119,369390,32388,1350.3984007,227151,85,23.96,18.44,99.55,NA
2024-2025,Aug,24,ODISHA,2419,JAGATSINGHAPUR,1022796,260.466465070856,18,39,1256.163075946,2389,0,10173,186363,23233,24756,440,580,56.75092,1798.327114246,10158,14547,80663,138572,5,123055,199373,12562,485.4131183,76369,51,44.08,6.91,99.59,NA
2024-2025,Aug,24,ODISHA,2423,KHORDHA,824085,254.849785655809,23,47,1252.83355981,3191,0,9478,241854,22679,16218,13848,8598,37.57528,1906.77324041,10360,14190,66799,123345,43,109549,190472,12669,616.3644006,104496,55,51.63,19.98,99.79,NA
2024-2025,Aug,24,ODISHA,2427,SONEPUR,974774,259.535139572569,31,28,1984.571942391,5270,0,15014,784968,133014,27343,53250,10350,63.16819,4085.007926791,24815,33687,79090,136583,155,116675,195769,20284,2037.2677944,339495,80,39.08,17.82,99.19,NA
2024-2025,Aug,24,ODISHA,2403,KENDUJHAR,4897477,253.62075303324,26,216,2246.313019382,11383,0,65024,1869041,201717,48348,857897,212668,109.23933,7095.828208082,69416,97111,250917,454565,218,316508,545387,76407,4740.2758587,963883,86,31.16,8.16,99.75,NA
2024-2025,Aug,24,ODISHA,2405,BALESHWAR,1393396,256.829448963696,27,103,1875.8374736,9426,0,58820,932062,144000,44173,60759,18836,102.47132,4372.1184922,33947,45530,160670,269712,42,255214,408770,68246,2393.8096986,457996,79,33.53,4.98,99.63,NA
2024-2025,Aug,24,ODISHA,2411,KORAPUT,4770935,264.169699529633,34,393,10751.162198585,11936,0,57709,2859683,402001,46271,1615237,191570,110.23016,18415.808347185,83985,107372,219740,341423,1463,256970,389370,69645,7554.4159886,1326341,64,49.04,20.17,98.56,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,229.589289822933,23,136,8943.520542084,18660,0,40683,1713981,249125,101759,92089,27741,161.78317,13040.420517684,72263,81183,403306,581579,83,434621,620991,59343,3935.1168056,989534,47,42.57,31.2,98.59,NA
2024-2025,Aug,24,ODISHA,2413,PURI,1134627,270.454559640907,23,38,846.628573477,10669,0,21699,498366,96119,38705,2409,1020,117.51851,2312.000654177,21082,31857,118671,244844,60,194116,369400,32368,1347.8535707,226351,85,23.66,18.7,99.53,NA
2024-2025,Aug,24,ODISHA,2427,SONEPUR,974774,259.593609479863,31,28,1984.571942391,5203,0,15079,782121,132340,27370,52914,10353,63.16819,4078.076266791,24780,33641,79124,136693,139,116718,195897,20282,2030.3361344,337975,80,39.17,17.88,99.18,NA
2024-2025,Aug,24,ODISHA,2428,NUAPADA,1770151,328.000603343487,40,368,1904.430675131,17070,0,34919,1568841,210127,27226,579562,77034,24.9728,7075.211420631,38372,68960,86791,196935,2750,99047,217256,51989,5145.8079455,726984,78,43.24,16.09,99.34,NA
2024-2025,July,24,ODISHA,2404,MAYURBHANJ,5176526,256.6624825964,29,207,5908.301325757,25676,0,134883,3772208,346475,60340,1874097,322724,179.33651,15769.480537257,126762,161371,355166,605532,309,440077,723501,160559,9681.8427015,1962433,86,37.45,6.5,99.57,NA
2024-2025,July,24,ODISHA,2420,JAJPUR,1347054,259.704128614507,23,49,1491.18912124,4794,0,20784,502074,87201,47943,26172,13418,26.06802,2821.16404794,21005,27630,139716,225622,14,207554,315517,25578,1303.9069067,208482,55,74.35,7.01,99.52,NA
2024-2025,July,24,ODISHA,2421,ANGUL,1772284,255.334474978611,27,62,3597.959376084,5842,2,25590,614794,72478,34162,104099,35317,88.89031,5256.630718184,22055,29297,138920,253453,56,173669,305937,31432,1569.7810321,317597,62,61.25,8.9,99.8,NA
2024-2025,July,24,ODISHA,2422,NAYAGARH,1550596,259.513195532184,29,63,2986.32071715001,3742,1,23792,720531,77717,25436,59757,16334,49.3329,4905.52664005001,24477,37052,113428,238101,43,168284,339911,27534,1869.8730229,334041,71,46.98,24.54,99.69,NA
2024-2025,July,24,ODISHA,2429,RAYAGADA,2386211,264.814506895558,29,248,3974.030835136,7158,0,38625,1373928,258524,35068,845038,126197,64.76854,7677.160033436,46195,62248,124401,205215,369,152899,244672,45783,3638.3606583,670173,58,58.72,13.27,99.79,NA
2024-2025,July,24,ODISHA,2401,SAMBALPUR,1058896,256.163600703251,27,40,708.452631951,7652,0,14889,564237,82924,25091,265377,81388,79.18979,2233.012237651,20203,27400,90384,165237,38,130737,234895,22541,1445.3698157,276631,68,44.77,19.65,99.66,NA
2024-2025,July,24,ODISHA,2409,BOLANGIR,3805484,303.663737982033,35,368,5860.649082824,11833,0,59388,3014549,408580,68456,633675,101671,127.28279,15142.024049524,83849,136308,231165,441846,3513,287003,530007,71221,9154.09217669999,1338302,74,35.02,51.17,99.76,NA
2024-2025,July,24,ODISHA,2427,SONEPUR,875490,260.054038002027,30,27,1984.571942391,3484,0,16705,706436,116299,27683,44162,10498,63.16819,3884.855476291,23240,31551,79455,138618,41,117185,198069,20189,1837.1153439,298686,80,41.77,19.09,99.74,NA
2024-2025,Aug,24,ODISHA,2404,MAYURBHANJ,6111072,256.491237371494,33,258,5908.364525757,39104,0,126491,5042560,466388,57589,2502400,305910,187.30821,19029.397274957,149003,191764,350429,579156,935,430292,687164,165595,12933.7245392,2631030,86,34.37,6.16,99.63,NA
2024-2025,Aug,24,ODISHA,2405,BALESHWAR,1393396,256.040418460055,28,112,1876.0395436,10145,0,58214,1003919,156522,44048,64691,18668,102.47132,4548.9492722,35757,48000,160449,268966,47,254042,406571,68359,2570.4384086,494648,79,32.8,4.73,99.66,NA
2024-2025,Aug,24,ODISHA,2408,KANDHAMAL,4783385,254.603192547104,44,2884,5659.111347432,13773,0,39002,4683602,1014462,53929,2576045,135407,96.75155,17680.463115632,106088,158983,146537,244283,6147,155754,261281,52775,11924.6002182,2338541,56,33.01,46.71,99.55,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,229.142544285622,24,155,8943.520542084,19663,0,40022,1911004,279350,101655,104368,27650,161.78317,13484.226899084,77129,86938,403075,580634,136,434383,619959,59685,4378.923187,1102850,47,42.36,30.87,98.87,NA
2024-2025,Aug,24,ODISHA,2416,DEOGARH,651992,270.69473291554,27,110,1288.067766851,2320,0,5052,391262,45597,13617,129526,30216,38.07386,2385.267252751,14066,20876,49521,92317,54,65337,117819,7372,1059.1256259,199362,36,55.29,17.96,99.72,NA
2024-2025,Aug,24,ODISHA,2424,GAJAPATI,1528451,273.697616169945,30,82,2371.713328293,6459,0,22146,948352,60450,11201,624974,110975,78.38083,5045.710975193,31512,44172,90147,168939,446,109394,196780,28605,2595.6168169,473019,65,50.85,19.35,99.22,NA
2024-2025,Aug,24,ODISHA,2428,NUAPADA,1770151,331.049054591694,42,380,1904.430675131,17921,0,34346,1685293,224142,27201,628108,77009,24.9728,7508.550018731,39712,71720,86794,196815,3179,99066,217140,52267,5579.1465436,780955,78,43.33,16.9,99.45,NA
2024-2025,Aug,24,ODISHA,2431,MALKANGIRI,1730497,254.273606024376,34,228,3145.96130217,7564,0,25061,1284714,331696,38102,733919,89787,46.11044,6458.76035707,37351,49778,94249,153660,856,111293,176920,32625,3266.6886149,576716,72,55.4,11.52,99.11,NA
2024-2025,Aug,24,ODISHA,2403,KENDUJHAR,4897477,252.597446631212,28,231,2246.313019382,14450,0,62439,2176881,233958,48016,1024600,210087,109.23933,7854.298171582,77708,109061,250070,450141,358,315167,540066,76889,5498.7458222,1124364,86,30.49,9.03,99.75,NA
2024-2025,Aug,24,ODISHA,2409,BOLANGIR,4470682,303.949784317614,39,385,5861.612462824,17709,0,54501,3645453,497045,67684,764001,100267,173.44557,17115.404563724,92923,150841,230799,436256,5399,285772,522154,72210,11080.3465309,1611451,75,35.22,50.41,99.47,NA
2024-2025,Aug,24,ODISHA,2411,KORAPUT,4770935,266.041082938574,36,413,10751.280518585,14185,0,55791,3236998,450949,45848,1832070,189459,110.23016,19473.255212485,89561,114943,218600,337980,2034,255387,385198,69976,8611.7445339,1500187,64,49.28,19.98,98.86,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,228.773396897029,25,159,8943.520542084,20097,0,39678,1995636,293010,101584,108573,27632,161.78317,13670.787978984,78908,88991,402794,580133,157,434029,619373,59775,4565.4842669,1152239,47,42.67,30.51,98.91,NA
2024-2025,Aug,24,ODISHA,2414,BARGARH,1896209,295.665798139611,31,94,753.249700275,12181,0,20732,973990,140702,44945,220954,59781,132.38121,3765.386217575,30866,45335,131885,255233,676,187913,340673,32913,2879.7553073,416539,73,42.62,31.65,99.81,NA
2024-2025,Aug,24,ODISHA,2418,KENDRAPARA,1288720,257.85556275528,23,52,286.954961364,4827,0,25144,335661,57126,43172,878,1291,64.05195,1216.527471864,14070,19049,127891,223820,18,195794,322745,29971,865.5205605,148021,52,44.78,3.48,99.59,NA
2024-2025,Aug,24,ODISHA,2420,JAJPUR,1551958,258.706152483995,26,56,1491.57835124,7233,0,18512,636998,116724,46521,35355,12487,43.95724,3183.48860844,24298,31935,136391,217731,29,201210,303112,25745,1647.9530172,265172,55,70.22,6.61,99.53,NA
2024-2025,Aug,24,ODISHA,2428,NUAPADA,1770151,330.557888521043,43,389,1904.430675131,18105,0,34247,1745298,231787,27221,651781,77055,24.9728,7698.623692331,40400,73080,86842,196945,3380,99096,217238,52352,5769.2202172,809126,78,43.56,16.93,99.48,NA
2024-2025,Aug,24,ODISHA,2401,SAMBALPUR,1297809,254.816664632981,29,54,708.452631951,9246,0,13876,711352,106178,24401,338371,78682,81.27785,2602.373922151,23937,32687,89677,160166,93,129016,227476,23122,1812.6434402,349273,69,40.25,21.4,99.52,NA
2024-2025,Aug,24,ODISHA,2402,SUNDARGARH,5448763,254.600463987897,32,262,3523.433768468,15790,0,41096,2776150,221105,30754,1913558,241504,177.62416,10769.148709468,84955,107033,216316,348913,1001,238901,383773,56886,7068.090781,1385041,76,37.91,30.99,99.63,NA
2024-2025,Aug,24,ODISHA,2403,KENDUJHAR,4897477,251.623185966279,27,231,2246.313019382,14062,0,62771,2141727,230337,48061,1005087,210835,109.23933,7744.634061482,76848,107904,250313,451268,337,315502,541346,76833,5389.0817121,1105180,86,30.39,8.87,99.74,NA
2024-2025,Aug,24,ODISHA,2406,CUTTACK,1433722,250.967767937727,25,47,1420.358136178,4890,1,18029,360093,49314,47146,22004,10660,49.03465,2373.110150778,13865,19673,121994,239652,34,202801,370171,22919,903.7173646,165758,67,42.06,18.52,99.72,NA
2024-2025,Aug,24,ODISHA,2415,JHARSUGUDA,709581,254.186002790891,31,20,674.788239644001,4116,0,6152,370491,82713,19457,162772,41380,53.48159,1670.006093244,11890,16437,49371,94872,109,63253,116130,10268,941.7362636,185920,64,47.35,14.66,99.63,NA
2024-2025,Aug,24,ODISHA,2423,KHORDHA,824085,254.440328242413,23,51,1252.83355981,3364,0,9347,262428,24624,16190,16230,8616,37.57528,1958.13150441,11062,15168,66747,123129,47,109317,190000,12711,667.7226646,114134,55,50.64,19.14,99.79,NA
2024-2025,Aug,24,ODISHA,2426,BOUDH,1125504,256.07733910511,32,29,1518.7385094651,5825,0,14385,869403,161943,27014,97918,14038,50.72059,3795.8031679651,26473,40539,71792,130924,115,93357,163673,20210,2226.3440685,399584,79,42.41,20.76,99.36,NA
2024-2025,July,24,ODISHA,2401,SAMBALPUR,1058896,256.300735344168,27,39,708.452631951,7194,0,15457,546506,79512,25184,256998,81722,79.18979,2188.341318651,19795,26844,90436,165774,32,130957,235803,22651,1400.6988967,267788,68,45.57,19.67,99.69,NA
2024-2025,July,24,ODISHA,2408,KANDHAMAL,4153694,255.70368927834,37,2624,5659.111347432,10390,0,41935,3703559,796463,53790,2045831,135399,82.78507,15212.033415032,98063,146016,146210,244120,3102,155263,260873,52325,9470.1369976,1847248,56,33.07,47.41,99.75,NA
2024-2025,July,24,ODISHA,2416,DEOGARH,587174,276.002216168339,26,91,1288.067766851,1579,0,5606,320639,36696,13824,104836,31140,38.07386,2211.112372751,12172,18020,49759,94355,26,65856,120475,7185,884.9707459,163422,36,58.6,17.02,99.77,NA
2024-2025,July,24,ODISHA,2419,JAGATSINGHAPUR,969223,263.890825115034,17,29,1256.132475946,1615,0,10824,153215,18965,25094,324,586,52.98159,1713.434393646,8700,12438,80805,139507,1,123527,200930,12439,404.3203277,63407,51,45.75,7.29,99.23,NA
2024-2025,July,24,ODISHA,2420,JAJPUR,1347054,259.136363156097,23,49,1491.18912124,4675,0,20898,497830,86279,48050,26000,13479,26.06802,2807.31569794,20879,27463,139788,226139,14,207716,316277,25573,1290.0585567,206663,55,74.55,7.03,99.53,NA
2024-2025,July,24,ODISHA,2421,ANGUL,1772284,255.150553443925,27,62,3597.959376084,5817,2,25582,604325,71069,34221,102463,35373,88.89031,5228.788268184,21828,28975,139046,253910,56,173880,306628,31399,1541.9385821,312053,62,61.27,8.85,99.8,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,294.612653911831,31,99,753.249700275,12591,0,20485,1004325,145960,44758,228359,59422,191.1596,3903.277836675,31693,46615,131827,254097,709,187913,339427,33076,2958.8685364,428990,73,41.88,32.14,99.81,NA
2024-2025,Sep,24,ODISHA,2417,BHADRAK,1771161,259.578464246168,25,74,2170.646836287,7002,0,39188,721587,102011,29168,4950,1432,80.64741,4124.378699087,27891,36444,135787,203129,31,200256,289186,46190,1873.0844528,336176,77,28.62,6.24,99.55,NA
2024-2025,Aug,24,ODISHA,2402,SUNDARGARH,5448763,255.331342010101,32,255,3523.433768468,15279,0,41430,2637618,208836,31038,1822030,244637,177.62416,10435.723364968,82218,103741,217216,353003,890,240073,388399,56709,6734.6654365,1319485,76,38.21,30.89,99.61,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,228.686367804545,24,140,8943.520542084,18940,0,40480,1771865,258073,101739,95976,27699,161.78317,13157.317422984,73719,82927,403236,581191,84,434522,620549,59420,4052.0137109,1022502,47,42.87,30.89,98.68,NA
2024-2025,Aug,24,ODISHA,2414,BARGARH,1896209,294.590492585163,31,87,753.249700275,11657,0,21107,926723,132564,45017,208571,59939,132.38121,3615.668760875,29544,43392,131956,255763,634,188046,341347,32764,2730.0378506,395102,73,43.74,31.61,99.78,NA
2024-2025,Aug,24,ODISHA,2430,NABARANGAPUR,3674427,266.31239354945,35,136,5442.126295779,8782,0,40378,2087636,316654,40925,1005007,146117,61.57784,11063.337535979,58465,78814,163089,267462,890,209391,332188,49160,5559.63340019999,964371,73,32.67,30.18,98.92,NA
2024-2025,Aug,24,ODISHA,2404,MAYURBHANJ,6111072,256.779407209288,33,257,5908.364525757,38721,0,126714,4952861,457089,57589,2458832,305906,187.30821,18813.599851457,148077,190465,350368,579153,889,430303,687289,165435,12717.9271157,2583858,86,34.69,6.21,99.62,NA
2024-2025,Aug,24,ODISHA,2408,KANDHAMAL,4783385,254.763661501238,43,2876,5659.111347432,13643,0,39095,4624076,1000593,53940,2544469,135396,96.75155,17536.328225632,105655,158261,146525,244297,5950,155772,261340,52738,11780.4653282,2308884,56,32.99,46.83,99.54,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,229.364657006766,24,149,8943.520542084,19428,0,40149,1867238,273206,101674,102157,27654,161.78317,13388.087746284,75973,85574,403166,580761,97,434445,620052,59577,4282.7840342,1078349,47,42.47,30.84,98.8,NA
2024-2025,Aug,24,ODISHA,2416,DEOGARH,651992,271.392058478709,27,108,1288.067766851,2317,0,5043,383832,44636,13634,126722,30307,38.07386,2367.831192751,13880,20586,49548,92469,50,65413,118072,7360,1041.6895659,195641,36,55.23,18,99.69,NA
2024-2025,Aug,24,ODISHA,2421,ANGUL,2053330,255.102613247469,29,76,3597.959376084,7959,2,23864,775801,94341,33175,129298,34386,91.82481,5668.872810684,25946,34655,137441,245417,106,171023,295024,31823,1979.0886246,402082,63,59.24,9.03,99.81,NA
2024-2025,Aug,24,ODISHA,2403,KENDUJHAR,4897477,253.957911885997,27,220,2246.313019382,12598,0,64067,1986472,214208,48206,920643,211435,109.23933,7400.355160782,72909,102075,250631,452680,265,316076,543210,76665,5044.8028114,1024927,86,30.95,8.52,99.75,NA
2024-2025,Aug,24,ODISHA,2404,MAYURBHANJ,6111072,256.526983701111,33,254,5908.364525757,38334,0,126943,4893401,451779,57581,2430210,305988,187.30821,18648.566721457,147241,189277,350292,579235,806,430313,687521,165277,12552.8939857,2553363,86,34.83,6.23,99.61,NA
2024-2025,Aug,24,ODISHA,2405,BALESHWAR,1393396,257.410581972139,27,109,1876.0395436,9801,0,58529,971696,150609,44141,62982,18701,102.47132,4479.7591922,34874,46810,160425,269254,46,254304,407326,68330,2501.2483286,477924,79,33.25,4.82,99.65,NA
2024-2025,Aug,24,ODISHA,2419,JAGATSINGHAPUR,1022796,260.504199032936,18,39,1256.163075946,2432,0,10209,197505,24334,24760,509,580,56.75092,1827.422814246,10533,15071,80742,138589,5,123089,199311,12641,514.5088183,81339,51,44.52,6.68,99.59,NA
2024-2025,Aug,24,ODISHA,2409,BOLANGIR,4470682,303.422016828343,38,382,5861.595662824,17109,0,54897,3509674,477780,67650,734931,100253,173.44557,16684.164867724,90758,147574,230675,436105,4972,285672,522070,72006,10649.1236349,1554336,75,35.33,50.43,99.37,NA
2024-2025,Aug,24,ODISHA,2411,KORAPUT,4770935,264.418043995455,34,405,10751.280518585,12587,0,57238,3041496,424775,46228,1718256,191450,110.23016,18903.774909985,87103,111566,219835,341215,1708,256915,388940,69825,8042.2642314,1409690,64,49.1,20.04,98.68,NA
2024-2025,Aug,24,ODISHA,2412,GANJAM,11486505,227.514910912839,24,148,8943.520542084,19274,0,40263,1846394,269495,101684,100626,27688,161.78317,13306.125376284,75414,84924,403212,580829,88,434500,620128,59537,4200.8216642,1065773,47,42.62,30.85,98.76,NA
2024-2025,Aug,24,ODISHA,2420,JAJPUR,1551958,258.803682501035,25,55,1491.57835124,6868,0,18893,611139,111490,46833,33822,12572,43.95724,3117.18582844,23846,31348,137266,219303,20,202931,305763,25761,1581.6502372,254724,55,71.04,6.51,99.54,NA
2024-2025,Aug,24,ODISHA,2421,ANGUL,2053330,255.740474480856,29,75,3597.959376084,7958,2,23841,769873,93455,33186,128510,34405,91.82481,5658.661049184,25854,34531,137467,245500,105,171076,295164,31799,1968.8768631,399128,63,59.3,9.05,99.81,NA
2024-2025,Sep,24,ODISHA,2407,DHENKANAL,3083247,263.363406016857,32,91,3423.495053872,7155,0,19527,1078603,181818,51388,188694,37643,96.875,6361.015652072,33312,44377,155740,271136,302,198772,339837,26682,2840.6455982,517535,60,37.96,22.06,99.23,NA
2024-2025,Sep,24,ODISHA,2408,KANDHAMAL,5495969,253.439136675505,45,2924,5659.111347432,14139,0,38783,4912614,1064391,53955,2700103,135422,108.03671,18217.634567232,107619,161522,146593,244368,7084,155850,261383,52922,12450.4865098,2453659,56,32.95,46.79,99.52,NA
2024-2025,Sep,24,ODISHA,2410,KALAHANDI,4289405,306.977185944151,37,278,8263.039304297,19699,0,36895,3378181,637258,66908,1146728,123520,125.23406,18758.518334197,89418,139955,213674,387417,5429,270555,470516,56594,10370.2449699,1621141,52,28.23,46.77,99.5,NA
2024-2025,Sep,24,ODISHA,2413,PURI,1252213,269.251864460196,24,40,846.628573477,11036,0,21569,529896,101392,38697,2669,1023,131.50119,2404.884623177,21922,33161,118766,244594,69,194412,369356,32605,1426.7548597,239927,85,28.87,13.57,99.57,NA
2024-2025,Sep,24,ODISHA,2414,BARGARH,2200043,294.253995689621,31,97,753.249700275,12352,0,20692,998984,145051,44871,227255,59543,191.1596,3883.959636575,31629,46497,131882,254559,704,187979,339934,33044,2939.5503363,426913,73,42.03,32.05,99.8,NA
2024-2025,Sep,24,ODISHA,2416,DEOGARH,759381,270.817390562378,28,118,1288.067766851,2385,0,5050,411947,48187,13362,137111,29723,49.56603,2453.257912751,14414,21402,49237,90721,70,65041,116141,7435,1115.6241159,209580,36,54.51,18.52,99.73,NA
2024-2025,Sep,24,ODISHA,2426,BOUDH,1228360,255.939930794627,33,30,1518.7385094651,5991,0,14224,878689,163279,27013,99444,14025,54.83395,3822.4884779651,26611,40716,71806,130895,116,93348,163605,20215,2248.9160185,403345,79,42.43,20.7,99.35,NA
2024-2025,Sep,24,ODISHA,2428,NUAPADA,2095140,331.337128663824,43,400,1904.430675131,18395,0,34080,1802659,239466,27243,672820,77094,42.80001,7920.109255331,41064,74356,86880,197041,3575,99132,217331,52475,5972.8785702,835081,78,43.57,17.49,99.5,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,268.856703108988,47,522,13897.655752338,22102,0,39853,5514559,740700,46039,3155827,189823,287.42559,29011.342860738,116317,151608,220885,339164,7331,259370,387952,61955,14826.2615184,2526924,57,51.48,20.29,99.33,NA
2024-2025,Dec,24,ODISHA,2412,GANJAM,17335620,232.6291318163,33,205,11279.901254789,29280,0,30074,3736283,555730,102284,223271,27911,600.14333,20571.727289889,110176,125904,404714,584742,1151,438359,627742,59354,8691.6827051,2152327,43,41.99,26.83,99.61,NA
2024-2025,Dec,24,ODISHA,2416,DEOGARH,1088902,260.928853549981,37,145,1773.59121888,3645,0,4548,845244,99714,13394,289289,29953,87.81776,4066.89445778,22358,33767,49844,91254,483,65653,116511,8193,2205.4854789,428579,35,52.43,20.58,99.85,NA
2024-2025,Dec,24,ODISHA,2430,NABARANGAPUR,5753716,272.518907783036,47,176,7108.346956436,13487,0,27629,3816467,583787,41714,1888501,145935,193.72091,17702.662050736,80115,108830,166512,268964,5149,213277,332577,41116,10400.5941843,1732604,65,34.71,28.28,99.49,NA
2024-2025,Dec,24,ODISHA,2403,KENDUJHAR,7581729,252.608736517135,38,348,2873.575372752,30160,0,37756,4425988,452074,48300,2257701,209709,299.84883,14353.856567952,115524,166131,251248,450756,2720,315670,539279,67916,11180.4323652,2292262,83,30.74,18.41,99.81,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,268.668765622252,47,521,13874.557409138,22088,0,39851,5493926,738150,46039,3143694,189758,287.42559,28922.446167538,116038,151223,220850,339103,7261,259327,387878,61939,14760.4631684,2517171,57,51.57,20.24,99.33,NA
2024-2025,Dec,24,ODISHA,2417,BHADRAK,2221038,259.26982994229,29,88,2808.734844878,13008,0,24171,985783,143259,29479,6275,1444,197.92798,5562.500732578,33648,44237,136417,204142,62,208681,299659,37179,2555.8379077,460816,72,27.82,7,99.59,NA
2024-2025,Dec,24,ODISHA,2428,NUAPADA,3277980,338.999481873196,60,655,3037.56442106,24183,0,26516,3602207,466007,27677,1363831,77588,184.50276,15433.53024706,59201,111878,88577,199234,10631,100973,220231,50699,12211.463066,1662079,74,46.02,22.69,99.75,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,253.650226606324,48,301,4725.419112502,11862,0,18898,2703455,634836,39262,1629387,92418,160.3938,11743.132646202,55871,75878,97441,158252,4021,115874,182815,30760,6857.3197337,1178677,66,42.05,32.86,99.66,NA
2024-2025,Dec,24,ODISHA,2403,KENDUJHAR,7581729,253.405679420086,37,332,2580.477304407,27157,0,38134,4232904,434105,48240,2154607,209525,247.05156,13553.948004807,112606,161580,250972,450238,2405,315051,538277,65291,10726.4191404,2192391,83,30.7,17.76,99.79,NA
